animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed	enterotype	dmm
CC08.02	CC	CC08	6	7	2019-09-16	147.9	FALSE	FALSE	FALSE	control	Male	Ross	distinct	2
CC08.05	CC	CC08	7	7	2019-09-17	215.1	NA	NA	NA	control	Male	Ross	distinct	2
CC08.06	CC	CC08	7	7	2019-09-17	192.4	NA	NA	NA	control	Male	Ross	distinct	2
CC09.01	CC	CC09	6	7	2019-09-16	151.4	FALSE	FALSE	FALSE	probiotic	Male	Ross	distinct	2
CC09.04	CC	CC09	7	7	2019-09-17	190.4	FALSE	FALSE	FALSE	probiotic	Male	Ross	distinct	2
CC09.06	CC	CC09	7	7	2019-09-17	196.4	FALSE	FALSE	FALSE	probiotic	Male	Ross	distinct	2
CC10.03	CC	CC10	6	7	2019-09-16	164.3	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CC10.05	CC	CC10	7	7	2019-09-17	217.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CC10.06	CC	CC10	7	7	2019-09-17	178.4	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CC11.02	CC	CC11	6	7	2019-09-16	207.8	NA	NA	NA	control	Female	Cobb	distinct	2
CC11.04	CC	CC11	7	7	2019-09-17	171.7	NA	NA	NA	control	Female	Cobb	distinct	2
CC11.06	CC	CC11	7	7	2019-09-17	230	NA	NA	NA	control	Female	Cobb	distinct	2
CC12.01	CC	CC12	6	7	2019-09-16	191.7	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	distinct	2
CC12.02	CC	CC12	6	7	2019-09-16	150.9	NA	NA	NA	phytobiotic	Male	Cobb	standard	1
CC12.04	CC	CC12	7	7	2019-09-17	196.7	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	distinct	2
CC12.06	CC	CC12	7	7	2019-09-17	206.3	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	distinct	2
CC13.01	CC	CC13	6	7	2019-09-16	156.1	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	standard	1
CC13.04	CC	CC13	7	7	2019-09-17	209.3	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	distinct	2
CC13.05	CC	CC13	7	7	2019-09-17	188.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	distinct	2
CC14.01	CC	CC14	6	7	2019-09-16	159.1	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CC14.02	CC	CC14	6	7	2019-09-16	176.9	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CC14.03	CC	CC14	6	7	2019-09-16	152.4	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CC14.05	CC	CC14	7	7	2019-09-17	202.5	TRUE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CC15.02	CC	CC15	6	7	2019-09-16	176.6	TRUE	FALSE	FALSE	probiotic	Male	Cobb	distinct	2
CC15.05	CC	CC15	7	7	2019-09-17	205.6	NA	NA	NA	probiotic	Male	Cobb	distinct	2
CC16.01	CC	CC16	6	7	2019-09-16	170.5	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CC16.03	CC	CC16	6	7	2019-09-16	146.4	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CC16.05	CC	CC16	7	7	2019-09-17	183.4	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CC16.06	CC	CC16	7	7	2019-09-17	215.8	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CC17.01	CC	CC17	6	7	2019-09-16	166.9	NA	NA	NA	control	Male	Cobb	standard	1
CC17.03	CC	CC17	6	7	2019-09-16	202.4	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CC17.05	CC	CC17	7	7	2019-09-17	220.7	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CC17.06	CC	CC17	7	7	2019-09-17	254.4	TRUE	FALSE	NA	control	Male	Cobb	standard	1
CC18.03	CC	CC18	6	7	2019-09-16	173.9	FALSE	FALSE	FALSE	probiotic	Male	Ross	standard	1
