animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CA18.01	155.6	0.29	214.88	16.39	6.4
CA18.02	170	0.48	184.79	15.47	7.99
CA18.03	183	0.76	211.09	12.84	10.84
CA18.04	250.6	0.32	788.18	14	24.44
CA18.05	210.6	0.31	1282.42	12.71	11.37
CA18.06	164.4	0.33	48.93	14.93	8.12
CA18.07	932.4	1.08	48.58	17.67	11.99
CA18.08	883.6	0.59	46.95	15.25	4.85
CA18.09	1149.8	0.29	51.25	15.33	10.34
CA18.10	1035.4	0.64	47.26	16.88	14.06
CA18.11	832	0.56	52.89	15.67	8.63
CA18.12	931.2	0.44	48.69	15.33	14.25
CA18.13	1998.6	0.39	0	10.86	11.78
CA18.14	2250.8	0.98	0	10.72	14.08
CA18.15	2392.6	3.19	0	48.43	14.33
CA18.16	2176	1.16	0	49.89	12.08
CA18.17	2244.4	1.62	11.8	47.27	12.82
CA18.18	2340.2	0.99	37.71	45.54	14.97
CA19.01	151.4	0.36	7.86	13.1	6.74
CA19.02	182.2	1.12	119.05	15.93	8.74
CA19.03	173.6	0.35	134.06	15.65	8.7
CA19.04	196.2	0.33	54.55	13.48	16.64
CA19.05	191	0.59	75.29	13.57	11.89
CA19.06	208	0.29	81.98	12.76	10.66
CA19.07	935.4	0.39	45.96	17.85	10.57
CA19.08	913.2	0.66	46.16	15.67	11.47
CA19.09	833	0.72	45.58	18.83	11.52
CA19.10	780.6	0.72	45.56	15.76	14.84
CA19.11	801.4	0.67	50.62	18.38	10.49
CA19.12	874.8	0.59	45.85	15.25	13.21
CA19.13	1847.2	1.39	36.5	42.56	11.3
CA19.14	1670.6	0.91	4.43	51.65	13.11
CA19.15	2013.4	0.61	0	49.45	17.38
CA19.16	2180.8	1.34	0	44.26	18.24
CA19.17	2291.8	1.88	26.13	49.3	17.17
CA19.18	2143.4	1.05	0	49.45	17.67
CA20.01	169.6	0.49	391.39	12.76	7.53
CA20.02	171.2	0.56	355.92	14.84	8.93
CA20.03	213.4	0.31	1195.01	12.5	19.86
CA20.04	189.8	0.3	1133.72	13.39	14.73
CA20.05	231.4	0.3	97.3	16.57	14.05
CA20.06	214.8	0.59	96.8	14.66	34.42
CA20.07	960.6	0.85	47.13	16.19	9.09
CA20.08	717.8	0.69	46.13	16.27	12.86
CA20.09	904.2	0.74	46.1	18.03	9.87
CA20.10	1057	0.67	45.55	16.62	15.74
CA20.11	1000.6	0.74	52.95	18.11	15.98
CA20.12	1096.2	0.6	45.99	21.04	19.55
CA20.13	2091.2	1.41	34.82	46.11	16.85
CA20.14	2256.2	1.13	102.57	44.4	13.57
CA20.15	2211.6	0.76	25.39	43.27	19.35
CA20.16	2395.8	0.76	78.23	44.69	11.84
CA20.17	2214.6	0.87	0	61.37	15.54
CA20.18	2349.2	1.2	36.85	48.43	18.86
CA21.01	219.2	0.5	108.15	12.71	13.81
CA21.02	172	0.75	249.81	13.39	12.63
CA21.03	202.6	0.31	69.75	16.81	5.91
CA21.04	201	0.39	37.32	14.97	52.08
CA21.05	187.6	0.38	19.32	14.44	10.86
CA21.06	176	0.34	440.64	16.48	18.59
CA21.07	886.8	0.71	60.14	15.42	5.86
CA21.08	810.4	1.71	49.77	15.67	12.57
CA21.09	943.6	0.87	46.89	16.1	16.25
CA21.10	719	0.66	83.49	16.45	11.42
CA21.11	842	0.6	68	18.56	13.42
CA21.12	1133.6	1.02	109.31	17.32	12.65
CA21.13	2519.8	1.63	0	51.21	17.69
CA21.14	2598.8	1.03	24.65	44.4	10.3
CA21.15	1908.6	0.66	0	42.28	19.49
CA21.16	1916.4	0.61	27.96	39.22	22.55
CA21.17	1930.8	0.72	69.78	44.97	15.85
CA21.18	2401.2	1.57	0	42.99	16.53
CA22.01	173.2	1.75	296.39	13.7	17.7
CA22.02	177.6	0.68	37.03	17.09	8.08
CA22.03	194.2	0	56.87	12.94	8.02
CA22.04	215.2	0.27	28.95	13.17	14.3
CA22.05	272.6	0.19	45.29	6.76	NA
CA22.06	216	0	37.14	8.09	18.47
CA22.07	912.6	0.82	46.89	20.85	17.91
CA22.08	1003	0.89	50.21	15.5	14.45
CA22.09	962.4	0.66	49.48	16.02	12.19
CA22.10	989.4	0.61	85.15	14.16	21.37
CA22.11	1198.8	0.75	48.78	14.66	31.92
CA22.12	866.8	0.59	76.18	14.75	16.47
CA22.13	2333	0.89	23.92	47.7	25.25
CA22.14	2428.8	1.26	0	43.13	23.88
CA22.15	2385.4	0.88	77.07	48.43	15.17
CA22.16	2195.6	0.91	8.99	46.4	21.49
CA22.17	2671.2	2.39	0	50.33	39.58
CA22.18	2871	1.17	0	46.55	30.63
CA23.01	194.6	0	33.68	9.44	11.04
CA23.02	181.6	0	42.57	6.65	11.22
CA23.03	182.8	0	31.68	11.58	15.34
CA23.04	233	0.25	34.36	10.9	26.17
CA23.05	217	1.53	36.92	11.8	14.67
CA23.06	181.6	0.39	31.14	7.87	29.57
CA23.07	954.8	0.87	46.03	18.65	25.41
CA23.08	862.8	0.67	49.07	18.56	19.15
CA23.09	986.8	0.69	52.5	18.2	11.96
CA23.10	1038.6	0.69	47.2	15.59	16.49
CA23.11	787	0.66	51.12	14.75	14.91
CA23.12	919.2	0.64	114.55	15.76	10.67
