animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA09.13	CA	CA09	35	35	2019-03-11	1778.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.14	CA	CA09	35	35	2019-03-11	2272.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.15	CA	CA09	36	35	2019-03-12	2356.6	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.16	CA	CA09	36	35	2019-03-12	2525	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.17	CA	CA09	37	35	2019-03-13	2249.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA09.18	CA	CA09	37	35	2019-03-13	2194.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb
CA10.01	CA	CA10	7	7	2019-02-11	179.4	NA	NA	NA	control	Female	Ross
CA10.02	CA	CA10	7	7	2019-02-11	197.2	FALSE	FALSE	FALSE	control	Female	Ross
CA10.03	CA	CA10	7	7	2019-02-11	160.2	NA	NA	NA	control	Female	Ross
CA10.04	CA	CA10	8	7	2019-02-12	183.6	FALSE	FALSE	FALSE	control	Female	Ross
CA10.05	CA	CA10	8	7	2019-02-12	180.4	FALSE	FALSE	FALSE	control	Female	Ross
CA10.06	CA	CA10	8	7	2019-02-12	217.8	FALSE	FALSE	FALSE	control	Female	Ross
CA10.07	CA	CA10	21	21	2019-02-25	711	FALSE	FALSE	FALSE	control	Female	Ross
CA10.08	CA	CA10	21	21	2019-02-25	785.4	FALSE	FALSE	FALSE	control	Female	Ross
CA10.09	CA	CA10	21	21	2019-02-25	851.8	FALSE	FALSE	FALSE	control	Female	Ross
CA10.10	CA	CA10	22	21	2019-02-26	776.8	FALSE	FALSE	FALSE	control	Female	Ross
CA10.11	CA	CA10	22	21	2019-02-26	975.4	FALSE	FALSE	FALSE	control	Female	Ross
CA10.12	CA	CA10	22	21	2019-02-26	688.8	FALSE	FALSE	FALSE	control	Female	Ross
CA10.13	CA	CA10	35	35	2019-03-11	2030	FALSE	FALSE	FALSE	control	Female	Ross
CA10.14	CA	CA10	35	35	2019-03-11	2019.6	FALSE	FALSE	FALSE	control	Female	Ross
CA10.15	CA	CA10	36	35	2019-03-12	2368	FALSE	FALSE	FALSE	control	Female	Ross
CA10.16	CA	CA10	36	35	2019-03-12	2050	FALSE	FALSE	FALSE	control	Female	Ross
CA10.17	CA	CA10	37	35	2019-03-13	2274	FALSE	FALSE	FALSE	control	Female	Ross
CA10.18	CA	CA10	37	35	2019-03-13	2118.8	FALSE	FALSE	FALSE	control	Female	Ross
CA11.01	CA	CA11	7	7	2019-02-11	185.2	NA	NA	NA	control	Male	Ross
CA11.02	CA	CA11	7	7	2019-02-11	171	NA	NA	NA	control	Male	Ross
CA11.03	CA	CA11	7	7	2019-02-11	178.6	FALSE	FALSE	FALSE	control	Male	Ross
CA11.04	CA	CA11	8	7	2019-02-12	179	FALSE	FALSE	FALSE	control	Male	Ross
CA11.05	CA	CA11	8	7	2019-02-12	197	NA	NA	NA	control	Male	Ross
CA11.06	CA	CA11	8	7	2019-02-12	198	FALSE	FALSE	FALSE	control	Male	Ross
CA11.07	CA	CA11	21	21	2019-02-25	712.8	FALSE	FALSE	FALSE	control	Male	Ross
CA11.08	CA	CA11	21	21	2019-02-25	845.6	FALSE	FALSE	FALSE	control	Male	Ross
CA11.09	CA	CA11	21	21	2019-02-25	769.4	FALSE	FALSE	FALSE	control	Male	Ross
CA11.10	CA	CA11	22	21	2019-02-26	883.2	FALSE	FALSE	FALSE	control	Male	Ross
CA11.11	CA	CA11	22	21	2019-02-26	1004.6	FALSE	FALSE	FALSE	control	Male	Ross
CA11.12	CA	CA11	22	21	2019-02-26	1053.4	FALSE	FALSE	FALSE	control	Male	Ross
CA11.13	CA	CA11	35	35	2019-03-11	2364.8	FALSE	FALSE	FALSE	control	Male	Ross
CA11.14	CA	CA11	35	35	2019-03-11	1830.8	FALSE	FALSE	FALSE	control	Male	Ross
CA11.15	CA	CA11	36	35	2019-03-12	2044.2	FALSE	FALSE	FALSE	control	Male	Ross
CA11.16	CA	CA11	36	35	2019-03-12	2074.4	FALSE	FALSE	FALSE	control	Male	Ross
CA11.17	CA	CA11	37	35	2019-03-13	2463.6	FALSE	FALSE	FALSE	control	Male	Ross
CA11.18	CA	CA11	37	35	2019-03-13	2189	FALSE	FALSE	FALSE	control	Male	Ross
CA12.01	CA	CA12	7	7	2019-02-11	179.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.02	CA	CA12	7	7	2019-02-11	191	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.03	CA	CA12	7	7	2019-02-11	162.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.04	CA	CA12	8	7	2019-02-12	182.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.05	CA	CA12	8	7	2019-02-12	215.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.06	CA	CA12	7	7	2019-02-11	165.4	NA	NA	NA	phytobiotic	Male	Ross
CA12.07	CA	CA12	21	21	2019-02-25	847.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.08	CA	CA12	21	21	2019-02-25	943	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.09	CA	CA12	21	21	2019-02-25	816.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.10	CA	CA12	22	21	2019-02-26	856.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.11	CA	CA12	22	21	2019-02-26	1146.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.12	CA	CA12	22	21	2019-02-26	845.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.13	CA	CA12	35	35	2019-03-11	1501.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.14	CA	CA12	35	35	2019-03-11	2376.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.15	CA	CA12	36	35	2019-03-12	2189.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.16	CA	CA12	36	35	2019-03-12	2201.2	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.17	CA	CA12	37	35	2019-03-13	2417.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
CA12.18	CA	CA12	37	35	2019-03-13	2248.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross
